breakfast,00:00,168575
brunch,00:00,17243
coffee,00:00,310313
dinner,00:00,304332
lunch,00:00,165859
breakfast,00:15,156342
brunch,00:15,15716
coffee,00:15,282932
dinner,00:15,272837
lunch,00:15,148388
breakfast,00:30,148559
brunch,00:30,14819
coffee,00:30,269055
dinner,00:30,253683
lunch,00:30,137914
breakfast,00:45,140911
brunch,00:45,13577
coffee,00:45,249181
dinner,00:45,229008
lunch,00:45,126132
breakfast,01:00,137927
brunch,01:00,13125
coffee,01:00,245233
dinner,01:00,212969
lunch,01:00,119139
breakfast,01:15,125546
brunch,01:15,11832
coffee,01:15,222273
dinner,01:15,188259
lunch,01:15,105931
breakfast,01:30,118079
brunch,01:30,11366
coffee,01:30,211013
dinner,01:30,174165
lunch,01:30,97612
breakfast,01:45,109122
brunch,01:45,9947
coffee,01:45,196923
dinner,01:45,157005
lunch,01:45,89973
breakfast,02:00,106847
brunch,02:00,10389
coffee,02:00,194627
dinner,02:00,148679
lunch,02:00,87140
breakfast,02:15,97633
brunch,02:15,8901
coffee,02:15,176518
dinner,02:15,134761
lunch,02:15,78728
breakfast,02:30,93657
brunch,02:30,8555
coffee,02:30,173660
dinner,02:30,128364
lunch,02:30,74314
breakfast,02:45,88873
brunch,02:45,7972
coffee,02:45,162116
dinner,02:45,121079
lunch,02:45,69657
breakfast,03:00,94072
brunch,03:00,8396
coffee,03:00,167456
dinner,03:00,120160
lunch,03:00,71098
breakfast,03:15,87389
brunch,03:15,7478
coffee,03:15,156017
dinner,03:15,114487
lunch,03:15,64774
breakfast,03:30,86845
brunch,03:30,7218
coffee,03:30,156497
dinner,03:30,116495
lunch,03:30,64269
breakfast,03:45,83275
brunch,03:45,6989
coffee,03:45,151777
dinner,03:45,118469
lunch,03:45,62590
breakfast,04:00,92344
brunch,04:00,7770
coffee,04:00,160924
dinner,04:00,123734
lunch,04:00,66644
breakfast,04:15,89205
brunch,04:15,7339
coffee,04:15,154151
dinner,04:15,121379
lunch,04:15,63362
breakfast,04:30,93460
brunch,04:30,7137
coffee,04:30,162762
dinner,04:30,123618
lunch,04:30,65496
breakfast,04:45,96130
brunch,04:45,7258
coffee,04:45,164964
dinner,04:45,121780
lunch,04:45,64293
breakfast,05:00,109498
brunch,05:00,9136
coffee,05:00,184309
dinner,05:00,126954
lunch,05:00,71448
breakfast,05:15,112465
brunch,05:15,7657
coffee,05:15,182345
dinner,05:15,123214
lunch,05:15,68350
breakfast,05:30,124846
brunch,05:30,8032
coffee,05:30,200201
dinner,05:30,124074
lunch,05:30,72708
breakfast,05:45,136736
brunch,05:45,8568
coffee,05:45,214090
dinner,05:45,125655
lunch,05:45,74328
breakfast,06:00,173511
brunch,06:00,11162
coffee,06:00,247410
dinner,06:00,134838
lunch,06:00,85172
breakfast,06:15,176225
brunch,06:15,10344
coffee,06:15,257821
dinner,06:15,131494
lunch,06:15,84758
breakfast,06:30,200357
brunch,06:30,11538
coffee,06:30,293624
dinner,06:30,135955
lunch,06:30,92378
breakfast,06:45,227723
brunch,06:45,12369
coffee,06:45,316881
dinner,06:45,138497
lunch,06:45,99579
breakfast,07:00,279662
brunch,07:00,17041
coffee,07:00,370139
dinner,07:00,151767
lunch,07:00,117118
breakfast,07:15,289405
brunch,07:15,16277
coffee,07:15,381074
dinner,07:15,151380
lunch,07:15,120004
breakfast,07:30,330621
brunch,07:30,18871
coffee,07:30,420822
dinner,07:30,157923
lunch,07:30,133433
breakfast,07:45,360808
brunch,07:45,20950
coffee,07:45,450095
dinner,07:45,161751
lunch,07:45,140606
breakfast,08:00,424259
brunch,08:00,29992
coffee,08:00,509834
dinner,08:00,182801
lunch,08:00,170304
breakfast,08:15,432384
brunch,08:15,27270
coffee,08:15,516827
dinner,08:15,180535
lunch,08:15,170659
breakfast,08:30,464000
brunch,08:30,31104
coffee,08:30,547091
dinner,08:30,190972
lunch,08:30,186638
breakfast,08:45,487559
brunch,08:45,33525
coffee,08:45,567138
dinner,08:45,198580
lunch,08:45,198244
breakfast,09:00,536591
brunch,09:00,47359
coffee,09:00,617782
dinner,09:00,223513
lunch,09:00,238313
breakfast,09:15,536550
brunch,09:15,43647
coffee,09:15,605039
dinner,09:15,221683
lunch,09:15,238814
breakfast,09:30,554954
brunch,09:30,50387
coffee,09:30,622072
dinner,09:30,230848
